iter	Logloss
0	0.667978365
1	0.6463169033
2	0.6258446818
3	0.6079162114
4	0.5924377565
5	0.5794085926
6	0.56622492
7	0.5549678138
8	0.5445578891
9	0.535638597
10	0.5284025489
11	0.5213369473
12	0.5147048377
13	0.5086275196
14	0.5031962378
15	0.4983923493
16	0.4945572301
17	0.4909143503
18	0.4873259973
19	0.484554471
20	0.4818385233
21	0.4794698841
22	0.4772172102
23	0.475213924
24	0.473590043
25	0.4719891874
26	0.4704765508
27	0.4690967543
28	0.4681778159
29	0.4669417618
30	0.4658862959
31	0.4648818728
32	0.4641912059
33	0.4633788313
34	0.4626905034
35	0.4620241783
36	0.4614344679
37	0.4609032021
38	0.4603731056
39	0.4598497193
40	0.4595190192
41	0.4590182863
42	0.4586789679
43	0.4582747427
44	0.4579753156
45	0.4576563791
46	0.4573044361
47	0.4569929875
48	0.4567850131
49	0.4565693597
50	0.4563578057
51	0.4561425357
52	0.4559105562
53	0.4557576164
54	0.4555444428
55	0.4553882581
56	0.4552353771
57	0.4550588251
58	0.4548906269
59	0.4547542342
60	0.4545910334
61	0.4544734665
62	0.4543318898
63	0.4542189478
64	0.4540933077
65	0.4539607867
66	0.4538376105
67	0.4537579103
68	0.4536588498
69	0.4535765281
70	0.4534855883
71	0.4533701837
72	0.4532887388
73	0.4531736932
74	0.45310733
75	0.4530226965
76	0.4528862801
77	0.4527880093
78	0.4526964243
79	0.452597351
80	0.4525275351
81	0.4524584499
82	0.4524018133
83	0.4523055943
84	0.452227827
85	0.4521404609
86	0.4520688249
87	0.4520084251
88	0.4519392093
89	0.4518862586
90	0.4518067116
91	0.4517249706
92	0.4516310958
93	0.4515624405
94	0.4515047092
95	0.4514490268
96	0.4513895932
97	0.4513368202
98	0.4512629114
99	0.4512384036
100	0.4511738899
101	0.4511371229
102	0.4510550095
103	0.4509690883
104	0.4509171942
105	0.4508545158
106	0.4507898063
107	0.450743613
108	0.4506739933
109	0.450594208
110	0.4505474536
111	0.4505160343
112	0.4504639229
113	0.4503932626
114	0.4503537978
115	0.4503007774
116	0.4502470578
117	0.4501931375
118	0.4501525531
119	0.4501120544
120	0.450080784
121	0.4500491915
122	0.4500219314
123	0.4499799083
124	0.4499221645
125	0.449859622
126	0.4497972303
127	0.449769232
128	0.4497353921
129	0.449656578
130	0.4496051325
131	0.449546601
132	0.4495393579
133	0.4494878737
134	0.4494482064
135	0.4494137887
136	0.4494103152
137	0.449360265
138	0.4493197625
139	0.4492593679
140	0.4492327141
141	0.4492179917
142	0.4491816673
143	0.4491424852
144	0.4491013984
145	0.4490554112
146	0.4490365217
147	0.449000493
148	0.4489815746
149	0.4489450455
150	0.4489155398
151	0.4488819672
152	0.4488397027
153	0.4487989441
154	0.4487537363
155	0.4487037608
156	0.4486590673
157	0.448630714
158	0.4485848644
159	0.4485722597
160	0.448538471
161	0.4484637237
162	0.4484237164
163	0.4483714598
164	0.4483423386
165	0.448314671
166	0.4482806683
167	0.4482301184
168	0.4482029148
169	0.4481843462
170	0.4481292914
171	0.4481249022
172	0.4481010123
173	0.4480796081
174	0.4480518024
175	0.4480219537
176	0.4479857961
177	0.4479685947
178	0.4479423579
179	0.4479123501
180	0.4478826326
181	0.4478509814
182	0.4478037482
183	0.4477729201
184	0.4477197633
185	0.4476947662
186	0.4476624825
187	0.4476342289
188	0.4475998985
189	0.4475690241
190	0.4475348479
191	0.447509055
192	0.4474870318
193	0.4474509307
194	0.4473983984
195	0.4473665961
196	0.4473533845
197	0.4473080574
198	0.4472771787
199	0.4472422893
200	0.447211626
201	0.4471703665
202	0.4471512998
203	0.4471037135
204	0.4470554143
205	0.4470165297
206	0.4469643489
207	0.4469084409
208	0.4468642
209	0.4468382765
210	0.4468286875
211	0.4468140926
212	0.4467548114
213	0.4467329021
214	0.4466744936
215	0.4466295423
216	0.4465914431
217	0.4465464346
218	0.4465273171
219	0.4465097647
220	0.4464773232
221	0.4464296283
222	0.4463783467
223	0.4463566728
224	0.4463079192
225	0.4462806389
226	0.4462388604
227	0.446223387
228	0.446191643
229	0.4461629968
230	0.4461027869
231	0.4460770874
232	0.4460336655
233	0.446003181
234	0.4459453158
235	0.4459236428
236	0.4458797531
237	0.4458259351
238	0.4457716855
239	0.445705777
240	0.4456808516
241	0.4456224683
242	0.4455652922
243	0.4455171124
244	0.4454476055
245	0.4454403531
246	0.4454123605
247	0.4453825099
248	0.4453272739
249	0.445280678
250	0.445236032
251	0.4452000837
252	0.4451455701
253	0.4451175708
254	0.445069607
255	0.4450404833
256	0.4449952692
257	0.4449579716
258	0.4449254891
259	0.4448712329
260	0.4448157286
261	0.4447788623
262	0.4447418433
263	0.4446885567
264	0.4446596054
265	0.4446334401
266	0.444587531
267	0.4445441519
268	0.4444919463
269	0.4444456209
270	0.4444093524
271	0.4443545966
272	0.4443014631
273	0.4442895384
274	0.4442447001
275	0.444206999
276	0.4441498302
277	0.4441029852
278	0.4440507955
279	0.4440017452
280	0.443988654
281	0.4439292204
282	0.4438887413
283	0.4438437792
284	0.4437908201
285	0.443743653
286	0.4437096253
287	0.4436416352
288	0.4435887616
289	0.4435782125
290	0.443556559
291	0.4435168273
292	0.4434684787
293	0.4434254775
294	0.4433842017
295	0.4433362033
296	0.4432837103
297	0.4432621215
298	0.4432529402
299	0.44320636
300	0.4431569108
301	0.4431197732
302	0.443077382
303	0.4430224574
304	0.4429834564
305	0.4429440134
306	0.4428985027
307	0.4428466167
308	0.4428324783
309	0.4428197511
310	0.4427772492
311	0.4427600412
312	0.4427155014
313	0.4426955389
314	0.4426707681
315	0.4426283128
316	0.4426062019
317	0.442566653
318	0.4425298824
319	0.4424878986
320	0.442428923
321	0.4423790564
322	0.4423478556
323	0.4423042884
324	0.4422416626
325	0.442200164
326	0.4421499911
327	0.4421038998
328	0.4420880748
329	0.4420383052
330	0.4419836297
331	0.4419726275
332	0.4419375605
333	0.4418903268
334	0.4418598423
335	0.4418284587
336	0.4417718615
337	0.4417664933
338	0.4417641686
339	0.4417145717
340	0.4416742084
341	0.4416302136
342	0.4416004151
343	0.4415655159
344	0.4415640685
345	0.4415137355
346	0.4414992387
347	0.4414599181
348	0.4414212261
349	0.4413918834
350	0.4413378409
351	0.4412986144
352	0.4412663084
353	0.4412550864
354	0.441216491
355	0.4412081182
356	0.4411673405
357	0.4411248576
358	0.4411028133
359	0.4410946896
360	0.4410738217
361	0.4410549945
362	0.441041335
363	0.4410238835
364	0.4410022398
365	0.4409784626
366	0.4409314481
367	0.4409032076
368	0.4408421757
369	0.4408177193
370	0.4407657413
371	0.4407591675
372	0.4407195631
373	0.4407170813
374	0.4407008495
375	0.4406588137
376	0.4406485439
377	0.440609853
378	0.4405907982
379	0.4405392925
380	0.4404950904
381	0.4404581342
382	0.4404180251
383	0.440374664
384	0.4403538121
385	0.4403246244
386	0.440274938
387	0.4402694321
388	0.4402409191
389	0.4402172595
390	0.4402158461
391	0.4401653998
392	0.4401364539
393	0.4401351164
394	0.4400991562
395	0.4400557357
396	0.4400292431
397	0.4399971322
398	0.4399622161
399	0.4399356824
400	0.4399172614
401	0.4398776133
402	0.4398673247
403	0.4398566952
404	0.4398130688
405	0.4397762111
406	0.4397748026
407	0.4397611341
408	0.4397451829
409	0.4397265895
410	0.4397054737
411	0.439688417
412	0.4396581802
413	0.4396435021
414	0.4395922679
415	0.4395541175
416	0.4395363843
417	0.4394922291
418	0.439451891
419	0.4394127852
420	0.4393602934
421	0.4393238825
422	0.4392879001
423	0.4392693056
424	0.4392382703
425	0.4392131627
426	0.4391739055
427	0.439168726
428	0.439165985
429	0.4391284256
430	0.4390986851
431	0.4390627215
432	0.439049008
433	0.4390079855
434	0.438974845
435	0.4389565616
436	0.4389108802
437	0.4388786409
438	0.4388383593
439	0.4388014743
440	0.4387698425
441	0.4387690751
442	0.4387475092
443	0.4387050226
444	0.4386936717
445	0.4386506473
446	0.4386040445
447	0.4385610568
448	0.4385492433
449	0.4385246999
450	0.4384945977
451	0.4384791933
452	0.4384383245
453	0.4384162099
454	0.4383757911
455	0.4383423839
456	0.4383040379
457	0.4382857254
458	0.4382623327
459	0.4382436481
460	0.4382211679
461	0.4381808132
462	0.4381367805
463	0.4380739161
464	0.438036992
465	0.4380047718
466	0.4379730867
467	0.4379457718
468	0.4379117441
